Siteno;Name;Site discription;Address;Placement details;LAT;LON;Active;fmi_id
18;Supersite;Main street;Makelankatu 50;Air quality supersite;60.196421;24.952035;1;100762
5;Kallio;Urban background;;Air quality station;60.187358;24.950632;1;100662
4;Mannerheimintie;Main street;;Air quality station;60.169595;24.939319;1;100742
1;Leppavaara;Main street;;Air quality station;60.220285;24.811357;1;100691
8;Tikkurila;Main street;;Air quality station;60.289935;25.039564;1;100763
6;Vartiokyla;Suburban background;;Air quality station;60.223929;25.102544;1;100803
7;Luukki;Rural background;;Air quality station;60.314334;24.68464;1;100723
13;Katajanokka;Seaport;;Air quality station;60.165218;24.973826;1;104053
12;Ruskeasanta;Small-house area;;Air quality station;60.312026;25.011015;1;104080
11;Matinkyla;Main street;;Air quality station;60.164371;24.752073;1;104340
10;Toolontulli;Main street;;Air quality station;60.190241;24.91554;1;104105
2;Pasila;weather;;Air quality station;60.200397;24.938852;1;
3;PM_Tikkurila;Inactive;;Air quality station;0;0;0;
9;Lohja;Urban background;;Air quality station;60.248997;24.069465;1;
14;Hyvinkaa;Main street;;Air quality station;60.632734;24.86122;1;
15;PM_Jatkasaari;Inactive;;Air quality station;0;0;0;
16;Ammassuo;Industrial;;Air quality station;60.240051;24.543633;1;
17;Ammassuo2;Industrial;;Air quality station;60.236654;24.529012;1;
19;Pirkkola_R;Inactive;;Air quality station;0;0;0;
20;Blominmaki;Inactive;;Air quality station;0;0;0;
21;Sensor;Misc;;Air quality station;0;0;0;
22;AQT;Misc;;Air quality station;0;0;0;
